,_id,Age,Sex,Race,Year,Arrest1,Neighborhood
267,4251,57,M,B,2017,Criminal Mischief,Allegheny Center
609,4248,57,M,B,2017,Criminal Mischief,Allegheny Center
610,4250,57,M,B,2017,Criminal Mischief,Allegheny Center
877,879,32,M,W,2016,Criminal Mischief,Allegheny Center
596,13815,20,F,B,2017,Marijuana Possession,Allegheny Center
767,4489,22,F,O,2017,Marijuana Possession,Allegheny Center
408,16981,23,M,B,2018,Public Drunkenness,Allegheny Center
728,9839,30,F,W,2017,Public Drunkenness,Allegheny Center
9,16132,55,F,B,2017,Public Drunkenness,Allegheny Center
56,15982,37,M,W,2017,Public Drunkenness,Allegheny Center
783,5302,34,M,B,2017,Criminal Mischief,Allegheny West
942,11264,38,M,W,2017,Public Drunkenness,Allegheny West
213,18313,37,M,B,2018,Criminal Conspiracy,Allentown
214,18312,37,M,B,2018,Criminal Conspiracy,Allentown
240,19140,27,M,B,2018,Criminal Conspiracy,Allentown
344,8302,21,F,B,2017,Criminal Conspiracy,Allentown
524,19136,21,M,H,2018,Criminal Conspiracy,Allentown
525,19141,46,M,H,2018,Criminal Conspiracy,Allentown
526,19142,20,M,B,2018,Criminal Conspiracy,Allentown
531,19143,22,M,B,2018,Criminal Conspiracy,Allentown
540,19146,20,M,B,2018,Criminal Conspiracy,Allentown
541,19144,22,F,B,2018,Criminal Conspiracy,Allentown
542,19147,21,M,B,2018,Criminal Conspiracy,Allentown
547,19149,17,M,B,2018,Criminal Conspiracy,Allentown
20,10709,21,M,B,2017,Criminal Conspiracy,Allentown
993,1194,30,F,B,2016,Criminal Conspiracy,Allentown
994,1195,31,M,B,2016,Criminal Conspiracy,Allentown
1048,10710,25,F,W,2017,Criminal Conspiracy,Allentown
277,16727,24,M,B,2018,Marijuana Possession,Allentown
457,20468,49,M,W,2018,Marijuana Possession,Allentown
529,16962,23,M,W,2018,Marijuana Possession,Allentown
655,16728,23,M,B,2018,Marijuana Possession,Allentown
969,1128,19,M,H,2016,Marijuana Possession,Allentown
973,11953,19,F,W,2017,Marijuana Possession,Allentown
670,11356,36,M,W,2017,Public Drunkenness,Allentown
766,11512,38,M,W,2017,Public Drunkenness,Allentown
65,21999,24,M,B,2018,Public Drunkenness,Allentown
305,18587,30,F,B,2018,Criminal Conspiracy,Arlington
1,15904,16,M,B,2017,Criminal Conspiracy,Arlington
18,7395,21,M,W,2017,Criminal Conspiracy,Arlington
48,15978,21,M,B,2017,Criminal Conspiracy,Arlington
54,15979,21,M,B,2017,Criminal Conspiracy,Arlington
620,19313,31,M,W,2018,Marijuana Possession,Arlington
545,4043,29,M,W,2017,Criminal Mischief,Arlington
820,10229,30,M,B,2017,Criminal Conspiracy,Arlington
1269,1697,18,M,B,2016,Criminal Conspiracy,Arlington Heights
1270,1699,19,M,B,2016,Criminal Conspiracy,Arlington Heights
858,2931,25,M,B,2016,Marijuana Possession,Arlington Heights
701,13702,23,M,B,2017,Marijuana Possession,Arlington Heights
839,17979,41,M,B,2018,Marijuana Possession,Arlington Heights
536,4293,36,M,W,2017,Criminal Conspiracy,Banksville
239,2669,20,M,B,2016,Forgery,Banksville
762,4731,38,M,B,2017,Marijuana Possession,Banksville
921,11841,47,M,W,2017,Public Drunkenness,Banksville
128,18921,27,M,B,2018,Criminal Conspiracy,Bedford Dwellings
920,11839,29,M,B,2017,Criminal Conspiracy,Bedford Dwellings
1086,12049,23,M,B,2017,Criminal Conspiracy,Bedford Dwellings
1272,18922,28,M,B,2018,Criminal Conspiracy,Bedford Dwellings
1273,18923,27,M,B,2018,Criminal Conspiracy,Bedford Dwellings
677,3087,44,M,B,2016,Criminal Mischief,Bedford Dwellings
313,3166,24,M,B,2016,Criminal Mischief,Bedford Dwellings
184,16884,35,M,B,2018,Marijuana Possession,Bedford Dwellings
468,11092,25,M,B,2017,Marijuana Possession,Bedford Dwellings
742,13037,26,M,B,2017,Marijuana Possession,Bedford Dwellings
897,17857,43,M,B,2018,Public Drunkenness,Bedford Dwellings
82,18300,27,F,B,2018,Public Drunkenness,Bedford Dwellings
814,11623,28,M,B,2017,Criminal Conspiracy,Bedford Dwellings
272,8129,15,F,B,2017,Criminal Conspiracy,Beechview
275,8131,13,M,U,2017,Criminal Conspiracy,Beechview
289,8130,13,M,B,2017,Criminal Conspiracy,Beechview
399,18832,34,F,W,2018,Criminal Conspiracy,Beechview
467,11087,22,M,B,2017,Criminal Conspiracy,Beechview
500,11127,29,F,B,2017,Criminal Conspiracy,Beechview
647,20996,18,M,B,2018,Criminal Conspiracy,Beechview
780,11088,19,M,B,2017,Criminal Conspiracy,Beechview
847,5021,23,M,W,2017,Criminal Conspiracy,Beechview
55,8687,37,F,W,2017,Criminal Conspiracy,Beechview
995,5022,25,M,B,2017,Criminal Conspiracy,Beechview
1131,5361,27,M,W,2017,Criminal Conspiracy,Beechview
1214,11128,32,M,B,2017,Criminal Conspiracy,Beechview
1312,20998,19,M,W,2018,Criminal Conspiracy,Beechview
367,18801,32,F,W,2018,Criminal Mischief,Beechview
949,1082,19,M,B,2016,Criminal Mischief,Beechview
1130,19963,37,M,W,2018,Criminal Mischief,Beechview
1307,19012,20,M,B,2018,Criminal Mischief,Beechview
76,3740,27,M,B,2016,Marijuana Possession,Beechview
99,7600,NA,F,W,2017,Marijuana Possession,Beechview
225,2618,15,M,O,2016,Marijuana Possession,Beechview
264,18464,18,F,B,2018,Marijuana Possession,Beechview
266,18472,18,M,H,2018,Marijuana Possession,Beechview
312,2592,16,F,O,2016,Marijuana Possession,Beechview
346,16509,16,M,W,2018,Marijuana Possession,Beechview
604,17112,13,M,W,2018,Marijuana Possession,Beechview
644,13023,16,M,W,2017,Marijuana Possession,Beechview
704,8829,17,M,H,2017,Marijuana Possession,Beechview
988,10231,15,M,W,2017,Marijuana Possession,Beechview
1074,9640,12,M,B,2017,Marijuana Possession,Beechview
1281,18973,16,M,B,2018,Marijuana Possession,Beechview
